module,method,uri,route_name,permission
academic,GET,/api/v1/app/academic/departments/pre-requisite,departments.preRequisite,academic-department:manage
academic,POST,/api/v1/app/academic/departments/reorder,departments.reorder,academic-department:manage
academic,GET,/api/v1/app/academic/department-incharges/pre-requisite,department-incharges.preRequisite,academic-department:manage
academic,GET,/api/v1/app/academic/department-incharges,,academic-department:manage
academic,POST,/api/v1/app/academic/department-incharges,,academic-department:manage
academic,GET,/api/v1/app/academic/department-incharges/{id},,academic-department:manage
academic,PUT|PATCH,/api/v1/app/academic/department-incharges/{id},,academic-department:manage
academic,DELETE,/api/v1/app/academic/department-incharges/{id},,academic-department:manage
academic,GET,/api/v1/app/academic/departments,,academic-department:manage
academic,POST,/api/v1/app/academic/departments,,academic-department:manage
academic,GET,/api/v1/app/academic/departments/{id},,academic-department:manage
academic,PUT|PATCH,/api/v1/app/academic/departments/{id},,academic-department:manage
academic,DELETE,/api/v1/app/academic/departments/{id},,academic-department:manage
academic,GET,/api/v1/app/academic/program-types/pre-requisite,program-types.preRequisite,program:manage
academic,GET,/api/v1/app/academic/program-types,,program:manage
academic,POST,/api/v1/app/academic/program-types,,program:manage
academic,GET,/api/v1/app/academic/program-types/{id},,program:manage
academic,PUT|PATCH,/api/v1/app/academic/program-types/{id},,program:manage
academic,DELETE,/api/v1/app/academic/program-types/{id},,program:manage
academic,GET,/api/v1/app/academic/programs/pre-requisite,programs.preRequisite,program:manage
academic,POST,/api/v1/app/academic/programs/reorder,programs.reorder,program:manage
academic,GET,/api/v1/app/academic/program-incharges/pre-requisite,program-incharges.preRequisite,program:manage
academic,GET,/api/v1/app/academic/program-incharges,,program:manage
academic,POST,/api/v1/app/academic/program-incharges,,program:manage
academic,GET,/api/v1/app/academic/program-incharges/{id},,program:manage
academic,PUT|PATCH,/api/v1/app/academic/program-incharges/{id},,program:manage
academic,DELETE,/api/v1/app/academic/program-incharges/{id},,program:manage
academic,GET,/api/v1/app/academic/programs,,program:manage
academic,POST,/api/v1/app/academic/programs,,program:manage
academic,GET,/api/v1/app/academic/programs/{id},,program:manage
academic,PUT|PATCH,/api/v1/app/academic/programs/{id},,program:manage
academic,DELETE,/api/v1/app/academic/programs/{id},,program:manage
academic,GET,/api/v1/app/academic/sessions/pre-requisite,sessions.preRequisite,session:manage
academic,GET,/api/v1/app/academic/sessions,,session:manage
academic,POST,/api/v1/app/academic/sessions,,session:manage
academic,GET,/api/v1/app/academic/sessions/{id},,session:manage
academic,PUT|PATCH,/api/v1/app/academic/sessions/{id},,session:manage
academic,DELETE,/api/v1/app/academic/sessions/{id},,session:manage
academic,GET,/api/v1/app/academic/periods/pre-requisite,periods.preRequisite,
academic,POST,/api/v1/app/academic/periods/{period}/select,periods.select,period:change
academic,POST,/api/v1/app/academic/periods/{period}/default,periods.default,period:update
academic,POST,/api/v1/app/academic/periods/{period}/archive,periods.archive,
academic,POST,/api/v1/app/academic/periods/{period}/unarchive,periods.unarchive,
academic,POST,/api/v1/app/academic/periods/{period}/import,periods.import,period:create
academic,GET,/api/v1/app/academic/periods,,
academic,POST,/api/v1/app/academic/periods,,
academic,GET,/api/v1/app/academic/periods/{id},,
academic,PUT|PATCH,/api/v1/app/academic/periods/{id},,
academic,DELETE,/api/v1/app/academic/periods/{id},,
academic,GET,/api/v1/app/academic/divisions/pre-requisite,divisions.preRequisite,
academic,POST,/api/v1/app/academic/divisions/reorder,divisions.reorder,
academic,POST,/api/v1/app/academic/divisions/{division}/config,divisions.updateConfig,
academic,POST,/api/v1/app/academic/divisions/{division}/period,divisions.updateCurrentPeriod,
academic,GET,/api/v1/app/academic/divisions,,
academic,POST,/api/v1/app/academic/divisions,,
academic,GET,/api/v1/app/academic/divisions/{id},,
academic,PUT|PATCH,/api/v1/app/academic/divisions/{id},,
academic,DELETE,/api/v1/app/academic/divisions/{id},,
academic,GET,/api/v1/app/academic/division-incharges/pre-requisite,division-incharges.preRequisite,
academic,GET,/api/v1/app/academic/division-incharges,,
academic,POST,/api/v1/app/academic/division-incharges,,
academic,GET,/api/v1/app/academic/division-incharges/{id},,
academic,PUT|PATCH,/api/v1/app/academic/division-incharges/{id},,
academic,DELETE,/api/v1/app/academic/division-incharges/{id},,
academic,GET,/api/v1/app/academic/courses/pre-requisite,courses.preRequisite,
academic,POST,/api/v1/app/academic/courses/{course}/batches,courses.addBatches,
academic,POST,/api/v1/app/academic/courses/reorder,courses.reorder,
academic,POST,/api/v1/app/academic/courses/reorder-batch,courses.reorderBatch,
academic,POST,/api/v1/app/academic/courses/{course}/enrollment-seat,courses.updateEnrollmentSeat,
academic,POST,/api/v1/app/academic/courses/{course}/config,courses.updateConfig,
academic,POST,/api/v1/app/academic/courses/{course}/period,courses.updateCurrentPeriod,
academic,POST,/api/v1/app/academic/courses/import,,course:create
academic,GET,/api/v1/app/academic/courses,,
academic,POST,/api/v1/app/academic/courses,,
academic,GET,/api/v1/app/academic/courses/{id},,
academic,PUT|PATCH,/api/v1/app/academic/courses/{id},,
academic,DELETE,/api/v1/app/academic/courses/{id},,
academic,GET,/api/v1/app/academic/course-incharges/pre-requisite,course-incharges.preRequisite,
academic,GET,/api/v1/app/academic/course-incharges,,
academic,POST,/api/v1/app/academic/course-incharges,,
academic,GET,/api/v1/app/academic/course-incharges/{id},,
academic,PUT|PATCH,/api/v1/app/academic/course-incharges/{id},,
academic,DELETE,/api/v1/app/academic/course-incharges/{id},,
academic,GET,/api/v1/app/academic/enrollment-seats/pre-requisite,enrollment-seats.preRequisite,
academic,GET,/api/v1/app/academic/enrollment-seats,,
academic,POST,/api/v1/app/academic/enrollment-seats,,
academic,GET,/api/v1/app/academic/enrollment-seats/{id},,
academic,PUT|PATCH,/api/v1/app/academic/enrollment-seats/{id},,
academic,DELETE,/api/v1/app/academic/enrollment-seats/{id},,
academic,GET,/api/v1/app/academic/batches/pre-requisite,batches.preRequisite,
academic,GET,/api/v1/app/academic/batches/{batch}/subjects,batches.subjects,
academic,POST,/api/v1/app/academic/batches/{batch}/config,batches.updateConfig,
academic,POST,/api/v1/app/academic/batches/{batch}/period,batches.updateCurrentPeriod,
academic,POST,/api/v1/app/academic/batches/import,,batch:create
academic,GET,/api/v1/app/academic/batches/{batch}/optional-fee-heads,batches.getOptionalFeeHeads,
academic,GET,/api/v1/app/academic/batches,,
academic,POST,/api/v1/app/academic/batches,,
academic,GET,/api/v1/app/academic/batches/{id},,
academic,PUT|PATCH,/api/v1/app/academic/batches/{id},,
academic,DELETE,/api/v1/app/academic/batches/{id},,
academic,GET,/api/v1/app/academic/batch-incharges/pre-requisite,batch-incharges.preRequisite,
academic,GET,/api/v1/app/academic/batch-incharges,,
academic,POST,/api/v1/app/academic/batch-incharges,,
academic,GET,/api/v1/app/academic/batch-incharges/{id},,
academic,PUT|PATCH,/api/v1/app/academic/batch-incharges/{id},,
academic,DELETE,/api/v1/app/academic/batch-incharges/{id},,
academic,GET,/api/v1/app/academic/subjects/pre-requisite,subjects.preRequisite,
academic,POST,/api/v1/app/academic/subjects/reorder,subjects.reorder,
academic,GET,/api/v1/app/academic/subjects.records,,
academic,POST,/api/v1/app/academic/subjects.records,,
academic,GET,/api/v1/app/academic/subjects.records/{id},,
academic,PUT|PATCH,/api/v1/app/academic/subjects.records/{id},,
academic,DELETE,/api/v1/app/academic/subjects.records/{id},,
academic,POST,/api/v1/app/academic/subjects/{subject}/fee,subjects.updateFee,
academic,GET,/api/v1/app/academic/subjects,,
academic,POST,/api/v1/app/academic/subjects,,
academic,GET,/api/v1/app/academic/subjects/{id},,
academic,PUT|PATCH,/api/v1/app/academic/subjects/{id},,
academic,DELETE,/api/v1/app/academic/subjects/{id},,
academic,GET,/api/v1/app/academic/book-lists/pre-requisite,book-lists.preRequisite,
academic,POST,/api/v1/app/academic/book-lists/import,,book-list:create
academic,GET,/api/v1/app/academic/book-lists,,
academic,POST,/api/v1/app/academic/book-lists,,
academic,GET,/api/v1/app/academic/book-lists/{id},,
academic,PUT|PATCH,/api/v1/app/academic/book-lists/{id},,
academic,DELETE,/api/v1/app/academic/book-lists/{id},,
academic,GET,/api/v1/app/academic/subject-incharges/pre-requisite,subject-incharges.preRequisite,
academic,POST,/api/v1/app/academic/subject-incharges/import,,subject-incharge:create
academic,GET,/api/v1/app/academic/subject-incharges,,
academic,POST,/api/v1/app/academic/subject-incharges,,
academic,GET,/api/v1/app/academic/subject-incharges/{id},,
academic,PUT|PATCH,/api/v1/app/academic/subject-incharges/{id},,
academic,DELETE,/api/v1/app/academic/subject-incharges/{id},,
academic,GET,/api/v1/app/academic/certificate-templates/pre-requisite,certificateTemplates.preRequisite,
academic,GET,/api/v1/app/academic/certificate-templates,,
academic,POST,/api/v1/app/academic/certificate-templates,,
academic,GET,/api/v1/app/academic/certificate-templates/{id},,
academic,PUT|PATCH,/api/v1/app/academic/certificate-templates/{id},,
academic,DELETE,/api/v1/app/academic/certificate-templates/{id},,
academic,GET,/api/v1/app/academic/certificates/pre-requisite,certificates.preRequisite,
academic,GET,/api/v1/app/academic/certificates,,
academic,POST,/api/v1/app/academic/certificates,,
academic,GET,/api/v1/app/academic/certificates/{id},,
academic,PUT|PATCH,/api/v1/app/academic/certificates/{id},,
academic,DELETE,/api/v1/app/academic/certificates/{id},,
academic,GET,/api/v1/app/academic/id-card-templates/pre-requisite,idCardTemplates.preRequisite,
academic,GET,/api/v1/app/academic/id-card-templates,,
academic,POST,/api/v1/app/academic/id-card-templates,,
academic,GET,/api/v1/app/academic/id-card-templates/{id},,
academic,PUT|PATCH,/api/v1/app/academic/id-card-templates/{id},,
academic,DELETE,/api/v1/app/academic/id-card-templates/{id},,
academic,GET,/api/v1/app/academic/id-cards/pre-requisite,idCards.preRequisite,
academic,GET,/api/v1/app/academic/id-cards,idCards.print,
academic,GET,/api/v1/app/academic/class-timings/pre-requisite,class-timings.preRequisite,
academic,GET,/api/v1/app/academic/class-timings,,
academic,POST,/api/v1/app/academic/class-timings,,
academic,GET,/api/v1/app/academic/class-timings/{id},,
academic,PUT|PATCH,/api/v1/app/academic/class-timings/{id},,
academic,DELETE,/api/v1/app/academic/class-timings/{id},,
academic,GET,/api/v1/app/academic/timetables/pre-requisite,timetables.preRequisite,
academic,GET,/api/v1/app/academic/timetables/{timetable}/allocation/pre-requisite,timetables.allocation.preRequisite,timetable:allocate
academic,POST,/api/v1/app/academic/timetables/{timetable}/allocation,timetables.allocation,timetable:allocate
academic,GET,/api/v1/app/academic/timetables,,
academic,POST,/api/v1/app/academic/timetables,,
academic,GET,/api/v1/app/academic/timetables/{id},,
academic,PUT|PATCH,/api/v1/app/academic/timetables/{id},,
academic,DELETE,/api/v1/app/academic/timetables/{id},,
activity,GET,/api/v1/app/activity/trips/pre-requisite,,
activity,POST,/api/v1/app/activity/trips/{trip}/assets/{type},trips.uploadAsset,
activity,DELETE,/api/v1/app/activity/trips/{trip}/assets/{type},trips.removeAsset,
activity,POST,/api/v1/app/activity/trips/{trip}/media,trips.uploadMedia,
activity,DELETE,/api/v1/app/activity/trips/{trip}/media/{uuid},trips.removeMedia,
activity,GET,/api/v1/app/activity/trips.participants,,
activity,POST,/api/v1/app/activity/trips.participants,,
activity,GET,/api/v1/app/activity/trips.participants/{id},,
activity,PUT|PATCH,/api/v1/app/activity/trips.participants/{id},,
activity,DELETE,/api/v1/app/activity/trips.participants/{id},,
activity,GET,/api/v1/app/activity/trips,,
activity,POST,/api/v1/app/activity/trips,,
activity,GET,/api/v1/app/activity/trips/{id},,
activity,PUT|PATCH,/api/v1/app/activity/trips/{id},,
activity,DELETE,/api/v1/app/activity/trips/{id},,
approval,GET,/api/v1/app/approval/types/pre-requisite,types.preRequisite,
approval,GET,/api/v1/app/approval/types,,
approval,POST,/api/v1/app/approval/types,,
approval,GET,/api/v1/app/approval/types/{id},,
approval,PUT|PATCH,/api/v1/app/approval/types/{id},,
approval,DELETE,/api/v1/app/approval/types/{id},,
approval,GET,/api/v1/app/approval/requests/pre-requisite,requests.preRequisite,
approval,GET,/api/v1/app/approval/requests/{approval_request}/action/pre-requisite,requests.action.preRequisite,
approval,POST,/api/v1/app/approval/requests/{approval_request}/status,requests.action,
approval,POST,/api/v1/app/approval/requests/{approval_request}/cancel,requests.cancel,
approval,POST,/api/v1/app/approval/requests/{approval_request}/media,requests.uploadMedia,
approval,DELETE,/api/v1/app/approval/requests/{approval_request}/media/{uuid},requests.removeMedia,
approval,GET,/api/v1/app/approval/requests,,
approval,POST,/api/v1/app/approval/requests,,
approval,GET,/api/v1/app/approval/requests/{id},,
approval,PUT|PATCH,/api/v1/app/approval/requests/{id},,
approval,DELETE,/api/v1/app/approval/requests/{id},,
approval,GET,/api/v1/app/approval/reports/request-summary/pre-requisite,request-summary.preRequisite,approval:report
approval,GET,/api/v1/app/approval/reports/request-summary,request-summary.fetch,approval:report
asset,GET,/api/v1/app/asset/building/blocks/pre-requisite,blocks.preRequisite,building:manage
asset,GET,/api/v1/app/asset/building/blocks,,building:manage
asset,POST,/api/v1/app/asset/building/blocks,,building:manage
asset,GET,/api/v1/app/asset/building/blocks/{id},,building:manage
asset,PUT|PATCH,/api/v1/app/asset/building/blocks/{id},,building:manage
asset,DELETE,/api/v1/app/asset/building/blocks/{id},,building:manage
asset,GET,/api/v1/app/asset/building/floors/pre-requisite,floors.preRequisite,building:manage
asset,GET,/api/v1/app/asset/building/floors,,building:manage
asset,POST,/api/v1/app/asset/building/floors,,building:manage
asset,GET,/api/v1/app/asset/building/floors/{id},,building:manage
asset,PUT|PATCH,/api/v1/app/asset/building/floors/{id},,building:manage
asset,DELETE,/api/v1/app/asset/building/floors/{id},,building:manage
asset,GET,/api/v1/app/asset/building/rooms/pre-requisite,rooms.preRequisite,building:manage
asset,GET,/api/v1/app/asset/building/rooms,,building:manage
asset,POST,/api/v1/app/asset/building/rooms,,building:manage
asset,GET,/api/v1/app/asset/building/rooms/{id},,building:manage
asset,PUT|PATCH,/api/v1/app/asset/building/rooms/{id},,building:manage
asset,DELETE,/api/v1/app/asset/building/rooms/{id},,building:manage
blog,GET,/api/v1/app/blogs/pre-requisite,blogs.preRequisite,
blog,POST,/api/v1/app/blogs/{blog}/assets/{type},blogs.uploadAsset,
blog,DELETE,/api/v1/app/blogs/{blog}/assets/{type},blogs.removeAsset,
blog,POST,/api/v1/app/blogs/{blog}/meta,blogs.updateMeta,
blog,POST,/api/v1/app/blogs/{blog}/archive,blogs.archive,
blog,POST,/api/v1/app/blogs/{blog}/unarchive,blogs.unarchive,
blog,POST,/api/v1/app/blogs/{blog}/pin,blogs.pin,
blog,POST,/api/v1/app/blogs/{blog}/unpin,blogs.unpin,
blog,POST,/api/v1/app/blogs/archive,blogs.archiveMultiple,
blog,POST,/api/v1/app/blogs/unarchive,blogs.unarchiveMultiple,
blog,POST,/api/v1/app/blogs/delete,blogs.destroyMultiple,
blog,GET,/api/v1/app/blogs,,
blog,POST,/api/v1/app/blogs,,
blog,GET,/api/v1/app/blogs/{id},,
blog,PUT|PATCH,/api/v1/app/blogs/{id},,
blog,DELETE,/api/v1/app/blogs/{id},,
calendar,GET,/api/v1/app/calendar/holidays/pre-requisite,holidays.preRequisite,
calendar,GET,/api/v1/app/calendar/holidays,,
calendar,POST,/api/v1/app/calendar/holidays,,
calendar,GET,/api/v1/app/calendar/holidays/{id},,
calendar,PUT|PATCH,/api/v1/app/calendar/holidays/{id},,
calendar,DELETE,/api/v1/app/calendar/holidays/{id},,
calendar,GET,/api/v1/app/calendar/celebrations/pre-requisite,,
calendar,GET,/api/v1/app/calendar/celebrations,,celebration:read
calendar,GET,/api/v1/app/calendar/events/pre-requisite,,
