module_group,permission,admin,observer,manager,principal,staff,accountant,librarian,exam-incharge,transport-incharge,inventory-incharge,mess-incharge,hostel-incharge,attendance-assistant,receptionist,student,guardian,user
general,login:action,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
general,profile:update,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,password:update,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
general,chat:access,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,post:config,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,post:read,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
general,post:create,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
general,post:edit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,post:delete,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
general,post:comment,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
general,access:reports,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
team,organization:manage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
team,team:manage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,config:store,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,locale:read,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,locale:create,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,locale:edit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,locale:delete,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,backup:manage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,activity-log:manage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
config,activity-log:export,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
custom_field,custom-field:manage,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dashboard,dashboard:stat,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
contact,contact:config,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contact,contact:read,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
contact,contact:create,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
contact,contact:edit,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
contact,contact:delete,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
contact,contact:export,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
student,student:config,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
student,student:report,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
